RegionID,SizeRank,RegionName,RegionType,StateName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20
102001,0,United States,Country,,107296,107323,107373,107499,107643,107812,107979,108191,108407,108664,108915,109187,109373,109606,109858,110185,110516,110826,111161,111458,111772,112053,112406,112794,113371,113903,114414,114759,115133,115516,115929,116394,116919,117482,117965,118396,118765,119243,119771,120396,120994,121671,122360,122987,123550,124109,124777,125478,126205,126925,127649,128388,129127,129844,130559,131320,132118,132924,133748,134603,135450,136237,137017,137809,138609,139382,140138,140904,141677,142463,143220,143961,144702,145476,146267,147056,147856,148698,149583,150487,151385,152309,153266,154256,155230,156188,157129,158076,159030,159960,160898,161898,162988,164130,165272,166410,167616,168927,170322,171722,173203,174756,176401,178020,179631,181227,182844,184535,186273,188014,189724,191517,193328,195217,197126,199058,200987,202811,204554,206126,207530,208805,210047,211223,212306,213205,213905,214430,214749,214978,215122,215204,215270,215286,215247,215114,214800,214338,213718,213122,212413,211619,210637,209605,208400,206965,205340,203585,201872,200141,198423,196567,194789,192999,191157,189248,187393,185837,184338,182879,181450,180225,179277,178487,177808,177279,177062,176964,176899,176701,176552,176516,176436,176152,175463,174640,173688,172754,171715,170740,169767,168848,167880,166845,165812,164918,164301,163851,163517,163151,162826,162510,162300,162170,162244,162481,162870,163285,163751,164272,164871,165567,166367,167241,168218,169247,170382,171562,172808,174108,175444,176784,178082,179311,180419,181444,182402,183327,184058,184660,185203,185804,186394,186909,187413,188003,188721,189475,190197,190940,191805,192703,193612,194421,195223,196078,196965,197831,198615,199480,200422,201387,202242,203133,204038,205021,206025,207043,208067,209099,210204,211283,212344,213378,214490,215649,216805,217964,219076,220210,221388,222629,223904,225163,226371,227617,228866,230131,231406,232630,233759,234709,235579,236430,237310,238181,239042,239808,240471,241117,241954,242893,243724,244278,244810,245471,246250,247070,247968,248982,250125,251327,252441,253570,254920,256663
394913,1,"New York, NY",Msa,NY,188579,188139,187859,187323,187005,186713,186535,186443,186488,186611,186736,186883,187159,187770,188488,189161,189660,190284,190909,191533,192050,192560,193283,194109,195011,195614,196085,196506,197042,197623,198196,198998,199998,201224,202315,203465,204420,205600,206852,208461,210213,212056,214135,215969,217772,219372,221217,223128,225187,227427,229842,232245,234549,236859,239221,241608,244007,246389,248820,251202,253573,256054,258493,261048,263537,266078,268463,270871,273338,276126,278921,281716,284549,287243,289830,292440,295176,298169,301277,304962,308873,312796,316545,320455,324340,328334,332523,336512,340378,343974,347637,351007,354066,356972,360050,363224,366809,370381,374115,377657,381603,385741,390287,394815,399572,404361,409209,413760,418134,422288,426464,431275,436142,440956,445434,450095,454960,459965,464632,469265,473212,476988,479615,481844,483584,485514,486847,487232,486792,485407,483875,482100,480507,479175,478915,478333,477881,476185,474527,472828,471084,469938,468636,467184,465746,463881,461385,458732,455094,451968,448621,445859,442903,439553,435998,432571,428708,424856,421216,417774,415150,412278,409761,407094,405304,404176,403711,403480,403398,403462,402992,402780,402339,402754,403019,403142,402531,401319,399750,397856,396468,395181,394425,393006,391456,389269,387392,385712,384285,382977,381516,380293,378924,377580,376304,375371,374829,374638,374465,374376,374343,374446,374956,375683,376401,377287,378202,379645,381224,382845,384580,386316,388191,390218,392183,393909,395806,397474,399318,400589,401806,402827,403730,404660,405493,406242,406696,407476,408271,409430,410165,411141,411941,413048,413978,414852,415766,416717,418175,419315,420086,420708,421546,422858,423920,424962,426070,427383,428752,430224,431659,433290,435237,436885,438680,439946,442169,444423,447184,449635,451912,453907,455663,457369,459438,461906,464462,466975,468996,470780,471800,472763,474055,475808,477621,478874,479491,479844,480246,480750,481437,482099,482606,482521,482153,481847,481883,482365,483167,484153,485134,486273,487442,488880,490864,493579
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,184675,184932,184952,185060,185033,185060,185160,185113,184999,184902,184881,185005,184676,184111,183780,183982,184504,184981,185600,186496,187505,188475,189379,190399,192088,194185,196141,197594,198950,200239,201250,202594,204270,206143,207956,209401,211133,212663,214316,215773,217246,219268,221448,222944,224071,225374,227286,229275,230958,232635,234558,236772,239084,241227,243339,245686,248031,250259,252362,254632,256809,259117,261294,263801,266063,268315,270272,272401,274676,277347,279849,282537,285290,288414,291715,295231,298771,302878,307636,312683,317603,322561,327994,333451,338423,342883,347384,351791,356618,360761,366029,371914,378709,384809,391841,398892,407306,415853,424959,434825,445930,457467,467286,475491,483586,491882,498893,505891,512409,520307,528152,535788,542052,548341,556522,565419,574994,584005,591432,598407,604190,609318,613783,617659,622237,625441,626732,627902,626291,625659,624332,624252,623557,622355,620536,619153,616308,613644,608687,602361,594100,585593,579045,571823,564402,553812,542360,528400,514476,502343,491851,482582,475474,467993,459105,447693,439336,434970,431737,428508,425669,423067,421891,421919,422905,424317,426911,430897,432002,430540,430272,432288,435984,435355,433179,429662,426857,423864,419722,416948,415547,415145,413084,410152,405016,403624,402573,401641,398896,396225,395848,394894,393698,392104,391386,391407,393021,394636,397287,400061,403906,408971,413184,418729,424141,432506,441452,451404,460082,468549,476003,484747,492454,498387,503475,507019,511166,511999,512455,511942,512432,512922,514481,514251,514744,515389,518247,520848,524261,528261,532433,534792,537318,539874,542567,545672,548907,552775,555409,559958,562442,565734,567537,571632,575169,578336,581059,584621,588496,592253,595041,596790,600394,603068,606717,608980,612694,616434,619943,622864,625771,628689,633638,638621,642817,646906,650936,655281,658655,662182,664160,664473,663482,664031,664643,664244,663129,660398,657928,657251,660715,665104,666997,667041,667802,670070,671763,674427,677853,683048,688283,692527,694078,695207,699530,706714
394463,3,"Chicago, IL",Msa,IL,161914,161616,161224,160779,160181,159858,159386,159948,160757,162398,163693,164650,164932,164882,165041,164902,165072,164811,164512,162136,159220,154967,151683,149315,148453,148348,148289,148272,148213,148140,148466,149873,151914,154583,156855,158586,159385,159853,160334,160991,161549,162489,163489,164450,165075,165790,166671,167614,168807,170031,171276,172384,173479,174537,175558,176701,177954,179211,180513,181863,183177,184293,185431,186645,188028,189323,190474,191596,192773,194095,195384,196555,197584,198693,199966,201058,202225,203356,204801,206166,207470,208687,209747,211018,212262,213683,214933,216319,217456,218493,219449,220630,222023,223367,224746,225945,227400,228715,230070,231497,233037,234851,236529,238194,239594,241114,242786,244617,246260,247956,249617,251435,253249,255174,257068,258869,260852,262801,264567,266164,267571,269037,270239,271483,272514,273381,273986,274656,275127,275525,275716,276075,276615,277356,277126,276877,275695,275312,274188,273709,272576,271887,271033,270045,269149,266370,265623,262510,261776,258304,256946,253627,251863,248674,246117,242311,238310,235334,232026,229991,227008,224963,223156,221747,219738,218189,216739,216605,215987,215834,214155,213949,212370,212337,209578,208185,205929,204778,202376,200390,198365,196807,195428,193187,191801,189603,189228,187925,187328,185107,184115,182323,181415,179437,179075,178524,178533,177934,177070,176325,175700,176162,176865,177603,178556,179783,180605,181827,182743,184510,186161,188415,190327,192504,193615,195051,195829,197100,197648,197851,198327,199247,200222,200694,201358,201697,202387,202833,203274,203396,204046,205155,206150,206359,206559,206823,207204,207494,207879,208501,209246,210478,211455,212237,212816,213649,214758,215776,216598,217395,218408,219529,220812,221868,223185,224326,225362,226046,226567,227293,228178,229337,230415,231624,232794,233641,234085,234581,235308,236316,236955,237481,238053,238602,239166,239446,239542,239831,240166,240774,241355,241803,241994,241845,241606,241507,241491,241607,241885,242259,242806,243219,243617,244099,245049,246357
394514,4,"Dallas-Fort Worth, TX",Msa,TX,111245,111308,111467,111785,112128,112375,112551,112771,112991,113325,113653,113981,114039,114131,114158,114325,114418,114611,114839,115090,115384,115720,116003,116356,116806,117252,117612,117720,117942,118190,118575,118922,119283,119206,119206,119119,119704,120473,121455,122402,123204,124036,124782,125300,125637,126319,127146,127943,128254,128581,128825,129067,129245,129415,129603,129898,130344,130798,131199,131585,131823,131652,131473,131376,131557,131577,131649,131861,132082,132232,132273,132418,132626,133047,133406,133896,134348,135044,135739,136336,136818,137252,137756,138291,138535,138552,138338,138255,138339,138586,138833,139063,139363,139782,140209,140528,141255,142602,144570,146150,147030,147369,147678,148143,148587,149076,149486,149987,150733,150972,150970,150778,151000,151421,151843,152258,152615,152561,152703,152685,152936,153408,153849,154299,154686,155111,155372,155447,155565,156198,156601,157032,157026,156961,156934,157075,157306,157482,157638,158002,158519,158847,158974,158988,158332,157318,156051,155197,154484,153969,153656,153189,152402,151448,150554,149884,149751,150075,150504,150589,150541,150309,150233,150129,150277,150431,150998,151306,151351,151122,150895,151022,150922,150877,150179,149470,148536,147851,146976,146501,146166,145617,145012,144103,143566,142922,142754,142758,142985,143060,142960,142639,142469,142903,143450,144063,144444,144949,145537,146058,146524,146947,147578,148289,149161,149781,150589,151453,152505,153560,154696,155820,157113,158405,159697,160854,161760,162750,163581,164421,165211,166166,166872,167892,168791,170022,171188,172472,173979,175422,177075,178680,180358,182012,183756,185271,186705,188045,189544,191204,192753,194310,195815,197506,199338,201080,203022,204690,206412,208029,209834,211683,213317,215018,216483,218160,219728,221358,222767,224234,225934,227827,229573,231055,232441,234084,235885,237566,238968,240326,241483,242554,243232,244189,245207,246629,247903,248749,249193,249530,250161,250638,251119,251487,252133,252476,252877,253090,253545,254217,255208,256323,257406,258658,260101,261739
394974,5,"Philadelphia, PA",Msa,PA,121003,120847,120707,120463,120298,120203,120159,120136,120178,120264,120394,120500,120631,120799,121028,121280,121531,121764,121968,122126,122238,122322,122446,122623,122817,123015,123203,123349,123422,123471,123549,123794,124079,124423,124620,124824,124994,125238,125535,125896,126303,126717,127187,127563,127925,128249,128805,129483,130239,130975,131579,132188,132751,133354,133878,134388,134942,135583,136172,136781,137402,138133,138937,139723,140500,141256,142099,142927,143788,144629,145633,146521,147503,148454,149605,150791,151972,153203,154424,155886,157450,159153,160716,162456,164118,165868,167459,169150,170848,172546,174266,175936,177736,179546,181490,183213,184969,186800,188857,190971,193188,195524,198044,200719,203219,205463,207603,210038,212794,215266,217535,219670,222123,224761,227461,230132,232776,235534,238158,240642,242640,244514,246110,247762,249104,250346,251306,252096,252680,253030,253217,253237,253339,253391,253655,253699,254077,254200,254400,254125,253857,253633,253409,253058,252366,251894,251223,250601,249311,247876,246273,244885,243514,242007,240525,239078,237755,236572,235632,234770,233836,232886,231985,231401,231029,231091,231342,231480,231578,231249,230816,230414,230398,230503,230261,229421,228167,226605,224892,223387,222122,221189,220066,218617,216885,215220,213946,213081,212278,211533,210760,210116,209249,208351,207732,207464,207198,206706,206119,205712,205541,205470,205501,205531,205766,205981,206314,206807,207578,208500,209417,210169,210931,211561,212165,212542,212987,213455,213685,213461,213365,213446,213697,213658,213602,213702,213969,214369,214601,214800,215183,215772,216115,216189,216301,216684,217056,217193,217232,217198,217320,217594,217851,218266,218736,219580,220283,220983,221564,222300,223030,223947,224945,225746,226310,226776,227470,228162,228792,229493,230283,231361,232348,233321,234087,235165,236571,237967,239034,239764,240450,240978,241662,242279,243189,243927,244781,245445,246433,247095,247979,248536,249251,249646,249946,250315,250784,251446,252227,253187,253933,255095,256344,258152,260045,262437
394692,6,"Houston, TX",Msa,TX,109088,109163,109171,109319,109457,109556,109594,109654,109818,110011,110278,110566,110530,110373,110234,110314,110405,110573,110802,111041,111201,111373,111611,111846,112498,113114,113750,113957,114209,114452,114749,115017,115291,115574,115598,115601,115721,116346,117222,118099,118885,119610,120341,121038,121582,122041,122548,123132,123645,123887,123934,124072,124129,124268,124361,124646,124968,125223,125673,126102,126303,126288,125919,125734,125708,125850,125987,125849,125922,126118,126336,126477,126622,126887,127435,128058,128633,129156,129632,130305,130839,131304,131654,131988,132398,132608,132702,132776,132886,133216,133411,133770,133986,134321,134620,134994,135512,136500,137939,139091,140262,140764,141727,142355,143273,144068,144819,145654,146358,147011,147296,147563,147524,147807,147855,147965,147900,147807,147963,147974,148241,148371,148706,148977,149499,149929,150445,150965,151607,152297,152855,153438,153928,154138,154155,154310,154658,155151,155371,155815,156199,156565,156826,157086,156887,156477,155929,155589,155018,154386,153894,153335,152758,152250,151507,150652,150020,149996,150038,149948,149906,150147,150613,150937,151015,150818,150979,151252,151446,151474,151725,151981,152033,151567,150556,149344,148456,147933,147701,147348,146865,146080,144965,144013,143235,142839,142669,142726,142748,142772,142219,141904,141798,142098,142476,142671,142999,143261,143747,144218,144634,144846,145443,146053,146887,147738,149092,150676,152192,153443,154651,155909,157266,158775,160271,161669,162983,164292,165240,166075,166883,168193,169660,171381,173057,174538,175869,177247,178581,179808,181210,182634,183988,185042,185776,186408,187048,187981,188698,189331,190166,190982,191507,191741,192290,192946,193762,194250,194696,194993,195775,196674,197174,197715,198352,199125,199579,200014,200438,200830,201269,201750,202313,202852,203445,203913,204477,205473,206551,207440,208080,208971,209964,210773,211342,211892,212982,213903,214415,214349,214574,215162,215867,216266,216508,216947,217500,218067,218281,218692,219376,220288,221012,221569,222176,222936
395209,7,"Washington, DC",Msa,DC,178573,178349,178218,177944,177825,177673,177509,177401,177423,177559,177617,177685,177468,177342,177164,177261,177213,177288,177436,177559,177501,177409,177477,177558,177954,178325,178812,178991,179180,179290,179403,179589,179886,180090,180251,180535,181055,181825,182563,183299,183971,184754,185550,186261,187080,188000,189154,190195,191232,192141,193053,193957,195020,196164,197527,199014,200560,202238,203910,205846,207713,209563,211490,213627,215854,218025,220099,222233,224416,226645,229058,231491,234001,236378,238852,241438,244226,247123,250130,253306,256394,259473,262460,265560,268580,271892,275209,278425,281299,284169,286983,289883,292997,296746,300765,304689,308479,312759,317296,322173,327291,333116,339773,346706,353829,360088,366098,372124,378914,385271,391548,398329,405975,413596,420484,426739,433100,439498,444962,449809,453714,457518,461054,463264,464556,464783,464745,464132,461869,459258,457304,456067,454745,453207,451692,450519,448756,445961,442707,439369,436998,433891,430022,424922,420209,415190,409488,403045,395816,389467,383390,378128,372745,367879,363322,359037,354052,349481,345259,341827,339610,338240,337481,336602,335594,335089,335250,336143,337416,337764,338491,339286,340608,340638,340118,339226,338911,338287,336865,335485,334530,334776,334378,333900,332620,332165,331504,331272,330663,330200,330234,330148,329994,329954,330915,332078,333333,334680,336431,338036,339309,340959,342987,345475,348101,350197,352025,353843,356392,358774,361126,363631,366759,369496,371811,373290,374823,376296,377489,378456,378530,378570,378711,378880,379001,378938,379016,379136,378874,379356,380115,380561,380806,381087,381570,381859,381976,382494,382920,383665,384256,384017,383984,384747,386596,387965,388986,389763,390997,391957,393039,394402,396340,398688,400028,400824,400755,401478,402422,404063,405412,406917,408424,409289,409956,410504,411957,413600,415688,417409,418815,419348,419652,420028,420405,421621,423195,425057,426423,427305,428347,429272,429672,430247,431127,432651,434155,435392,436503,437592,439029,441043,443072,445433,448540,452030
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,110819,110951,111090,111340,111557,111869,112183,112448,112559,112673,112834,113037,112947,112934,112940,113278,113576,113808,114020,114249,114501,114680,114855,115072,115845,116482,117033,117047,117178,117023,116943,117001,117618,118359,118930,119294,119354,119472,119606,119959,120365,121237,122025,122718,122807,122928,123225,123631,124173,124805,125609,126455,127140,127742,128331,128919,129677,130438,131367,132373,133412,134491,135696,136967,138424,139858,141497,143225,145132,147123,148963,150640,152199,153736,155141,156627,158103,159738,161408,163235,164937,166647,168357,170548,172762,175120,177438,179834,182062,184054,185907,187784,189929,192219,194784,197042,199682,202197,204900,207397,210336,213584,217075,220806,224663,228774,232859,237408,241767,246577,251476,256474,261742,267333,273770,280074,286294,291889,296983,301603,306417,310580,315224,320324,325071,328802,330954,332528,333530,333796,334483,334350,334173,333233,331648,328737,325363,321402,317529,313565,309540,306021,301348,296706,290491,284532,277800,271747,265625,260030,253913,247342,240497,233478,226976,221097,215745,210730,205694,201040,196552,192965,189900,187474,185282,183854,182597,181163,180219,179521,179345,178698,177996,176655,175463,174030,172742,170899,169307,167965,166517,165188,163849,162969,162029,161220,160420,159887,159490,159473,159593,159724,159964,159980,160274,160636,161501,162751,163988,165497,167085,168760,170098,171555,173447,175972,178688,181768,184602,187120,189737,192441,195329,198022,201380,204551,207522,209495,211494,212705,214347,215790,217711,219182,220501,222028,222872,224061,224980,226725,228057,229665,230926,232407,233485,234832,236482,238016,239909,241495,243387,244948,246519,248136,249783,251810,253834,255581,256929,258246,259814,261477,263035,264424,265562,267012,268401,269732,270924,272642,274333,276175,277028,278209,278975,280580,282426,284016,285790,287104,288760,289802,290668,291083,292561,293946,295356,295086,295238,295552,296083,296950,297740,298270,298425,298852,299384,299815,300475,302121,303452,304808,306012,307291,308606,310471
394347,9,"Atlanta, GA",Msa,GA,120761,120991,121213,121704,122187,122713,123180,123644,124083,124558,125048,125575,125922,126311,126726,127296,127829,128269,128766,129350,130004,130631,131168,131720,132600,133471,134263,134715,135292,135944,136658,137296,137917,138548,139340,140067,140739,141379,142166,143048,143895,144785,145723,146611,147506,148371,149258,150120,150912,151785,152715,153794,154841,155867,156835,157876,158912,160003,160985,162046,163039,163983,164806,165565,166379,167144,167929,168683,169427,170116,170804,171469,172133,172802,173389,173973,174463,174973,175415,175808,176197,176608,177029,177355,177721,178036,178449,178734,179034,179320,179638,179981,180299,180595,180903,181280,181579,181902,182225,182707,183123,183466,183819,184276,184779,185305,185773,186238,186763,187331,187895,188426,189052,189733,190317,190863,191466,192138,192877,193527,194250,194868,195407,195802,196150,196597,197151,197671,198112,198460,198854,199322,199818,200292,200813,201173,201393,201340,201181,200841,200299,199672,198972,198433,197471,196301,194744,193499,192271,190952,189372,187662,186049,184264,181991,179005,176186,173557,171272,168636,166174,164068,162716,161639,160643,159462,158631,158263,157834,157259,156559,156368,156286,155880,154408,152395,149969,147986,146031,144552,142952,141643,139800,137813,135381,133233,131691,131048,131148,131234,131054,130166,129620,129089,129581,130161,131096,132040,133050,133557,133554,133705,134572,135879,137431,139128,140860,142506,144313,146222,148138,150323,152716,155057,156960,158902,160486,161942,162936,163957,164793,165546,166521,167371,168278,169047,169891,170690,171503,172275,172948,173747,174792,176028,176990,177980,178947,179868,180744,181486,182555,183610,185031,186403,187593,188418,189132,189958,190666,191728,192880,194372,195454,196663,197767,198970,200219,201709,203335,204741,206393,207893,209581,211239,213176,215026,216508,217911,219420,221128,222795,224362,225871,227454,228912,230070,230971,231774,232963,234215,235549,236355,237082,237785,238514,239207,239962,240909,242023,243266,244450,245643,246755,248184,249725,251454
